lat,lon,yyyy,obs,pred_av,pred_cc,pred_cm,pred_gs,pred_js,pred_me,pred_rk,state,ref_id,fold
30.497478,-87.880258,2010,10.238525,9.099999904632568,8.75100935663225,8.967745205479453,9.260130653731135,11.54407412894801,20.064871211901103,8.616527218412568,AL,01-003-0010,6
30.497478,-87.880258,2011,9.953913,8.916666746139526,8.21408290745856,8.869471232876712,9.429646329689582,10.815582362604898,21.594375806312037,8.477786671001832,AL,01-003-0010,6
30.497478,-87.880258,2012,9.200826,8.166666785875956,8.09301340870548,8.786800546448088,9.349649924318356,10.933407883711435,20.45231487451355,9.44489764154774,AL,01-003-0010,6
30.497478,-87.880258,2013,8.383784,7.700000087420146,6.9772230420969,8.512906849315069,9.344325139563823,9.297041193121528,21.277235532786747,9.169982335724674,AL,01-003-0010,6
30.497478,-87.880258,2014,8.906838,8.208333293596903,8.03702759332804,9.707876712328767,9.294930882900978,9.609983230312208,20.046086691503657,9.271753526814692,AL,01-003-0010,6
30.497478,-87.880258,2015,8.631579,7.583333412806193,7.20318122237569,9.374728767123289,9.280079809365596,10.042158785845496,21.94556362334996,9.033630114662778,AL,01-003-0010,6
33.284928,-85.803608,2010,10.536283,10.725000063578287,10.2789700529902,10.975953424657536,9.5215984196816,11.209497125022729,18.858438853694967,9.877217179307571,AL,01-027-0001,10
33.284928,-85.803608,2011,10.60339,10.299999912579857,9.75834861577181,10.638065753424655,9.594873655650009,10.847126955545944,19.489445873155987,9.774888486939144,AL,01-027-0001,10
33.284928,-85.803608,2012,8.887603,9.049999992052712,9.11226476190476,9.884237704918032,9.360404245545578,9.731793894745604,18.571860740745,11.358976302408191,AL,01-027-0001,10
33.284928,-85.803608,2013,8.0457630000000009,8.450000007947287,7.72533331566995,9.476424657534247,9.124162522809518,8.395910745168797,18.233973294088287,10.76361012360552,AL,01-027-0001,10
33.284928,-85.803608,2014,8.903509,8.541666587193808,8.68596655563967,10.516230136986302,9.099779481383848,10.227291890562247,18.88673647789106,11.626038108880705,AL,01-027-0001,10
33.284928,-85.803608,2015,8.254464,8.316666722297668,8.07480291107383,9.694959178082192,9.021855269717369,9.060771844622389,17.723314405467413,10.37031429875028,AL,01-027-0001,10
