region,region_name
Region01,1: New England
Region02,2: NY Area
Region03,3: DelMarVa
Region04,4: Southeast
Region05,5: Ohio Valley
Region06,6: South Central
Region07,7: Midwest
Region08,8: North Midwest
Region09,9: Pacific Southwest
Region10,10: Pacific Northwest
